drug_class,generic,synonyms,include_primary,notes
SSRI,citalopram,"citalopram;celexa;cipramil",1,"SSRI"
SSRI,escitalopram,"escitalopram;lexapro;cipralex",1,"SSRI"
SSRI,fluoxetine,"fluoxetine;prozac;sarafem;selfemra",1,"SSRI"
SSRI,fluvoxamine,"fluvoxamine;luvox;faverin",1,"SSRI"
SSRI,paroxetine,"paroxetine;paxil;seroxat;pexeva;brisdelle",1,"SSRI; brisdelle is low-dose paroxetine"
SSRI,sertraline,"sertraline;zoloft;lustral",1,"SSRI"
SNRI,venlafaxine,"venlafaxine;effexor;effexor xr",1,"SNRI"
SNRI,desvenlafaxine,"desvenlafaxine;pristiq;khedezla",1,"SNRI"
SNRI,duloxetine,"duloxetine;cymbalta;irenka",1,"SNRI"
SNRI,levomilnacipran,"levomilnacipran;fetzima",1,"SNRI"
SNRI,milnacipran,"milnacipran;savella;ixel",1,"SNRI; approved for fibromyalgia in US but antidepressant/SNRI in some settings"
Serotonin modulator,vortioxetine,"vortioxetine;trintellix;brintellix",1,"serotonin modulator antidepressant"
Serotonin modulator,vilazodone,"vilazodone;viibryd",1,"serotonin modulator antidepressant"
NDRI,bupropion,"bupropion;wellbutrin;zyban;aplenzin;forfivo;auvelity",1,"NDRI; often used as lower-sexual-dysfunction comparator; auvelity is combination dextromethorphan/bupropion"
NaSSA,mirtazapine,"mirtazapine;remeron",1,"NaSSA/tetracyclic antidepressant"
SARI,trazodone,"trazodone;desyrel;oleptro",1,"SARI"
SARI,nefazodone,"nefazodone;serzone",1,"SARI"
TCA,amitriptyline,"amitriptyline;elavil;endep",1,"TCA"
TCA,nortriptyline,"nortriptyline;pamelor;aventyl",1,"TCA"
TCA,imipramine,"imipramine;tofranil",1,"TCA"
TCA,desipramine,"desipramine;norpramin;pertrofrane",1,"TCA"
TCA,clomipramine,"clomipramine;anafranil",1,"TCA; strong serotonergic activity"
TCA,doxepin,"doxepin;sinequan;silenor;zonalon",1,"TCA; consider sensitivity because low-dose doxepin is also insomnia treatment"
TCA,trimipramine,"trimipramine;surmontil",1,"TCA"
TCA,protriptyline,"protriptyline;vivactil",1,"TCA"
TCA,amoxapine,"amoxapine;asendin",1,"TCA-like antidepressant"
Tetracyclic,maprotiline,"maprotiline;ludiomil",1,"tetracyclic/NRI antidepressant"
MAOI,phenelzine,"phenelzine;nardil",1,"MAOI"
MAOI,tranylcypromine,"tranylcypromine;parnate",1,"MAOI"
MAOI,isocarboxazid,"isocarboxazid;marplan",1,"MAOI"
MAOI,selegiline,"selegiline;emsam",1,"MAOI patch formulation used for depression"
RIMA,moclobemide,"moclobemide;aurorix;manerix",0,"not FDA-approved; keep for global/foreign report sensitivity"
NRI,reboxetine,"reboxetine;edronax",0,"not FDA-approved; sensitivity only"
Melatonergic,agomelatine,"agomelatine;valdoxan;thymanax",0,"not FDA-approved; sensitivity only"
NMDA/esketamine,esketamine,"esketamine;spravato",0,"treatment-resistant depression; analyze separately/sensitivity"
NMDA,ketamine,"ketamine;ketalar",0,"not a conventional antidepressant exposure; sensitivity only"
